Player,Nation,Squad,Min,Gls,Ast,CrdY,CrdR
Mikel Balenziaga,es ESP,Athletic Club,563,0,0,1,0
Éver Banega,ar ARG,Sevilla,2.475,3,7,10,0
Federico Barba,it ITA,Valladolid,450,0,0,3,0
Enis Bardhi,mk MKD,Levante,2.114,7,2,5,0
Kike Barja,es ESP,Osasuna,313,0,1,0,0
Antonio Barragán,es ESP,Betis,641,0,1,3,0
Ander Barrenetxea,es ESP,Real Sociedad,442,0,0,1,0
Marc Bartra,es ESP,Betis,2.524,3,1,8,0
Gil Bastião Dias,pt POR,Granada,356,0,1,1,0
Fran Beltrán,es ESP,Celta Vigo,1.830,1,0,2,1
Hatem Ben Arfa,fr FRA,Valladolid,159,0,0,1,0
Karim Benzema,fr FRA,Real Madrid,3.141,21,8,0,0
Yuri Berchiche,es ESP,Athletic Club,2.850,2,1,7,0
Markel Bergara,es ESP,Getafe,72,0,0,2,0
Sergio Bermejo,es ESP,Celta Vigo,5,0,0,0,0
Pedro Bigas,es ESP,Eibar,1.777,3,0,2,0
Rubén Blanco,es ESP,Celta Vigo,2.960,0,0,4,0
Pablo de Blasis,ar ARG,Eibar,1.604,2,3,1,0
Alejandro Blesa,es ESP,Levante,2,0,0,0,0
Yassine Bounou,ma MAR,Sevilla,495,0,1,1,0
Filip Bradari?,hr CRO,Celta Vigo,706,0,0,2,1
Martin Braithwaite,dk DEN,Barcelona,407,1,0,1,0
Martin Braithwaite,dk DEN,Leganés,1.934,6,1,3,0
Brandon,es ESP,Osasuna,406,0,1,4,0
Darko Braanac,rs SRB,Osasuna,2.245,0,1,8,0
Yan Brice Eteki,cm CMR,Granada,1.499,0,0,4,0
Bryan,es ESP,Leganés,558,1,0,2,0
Bryan,es ESP,Sevilla,65,0,0,2,0
Ante Budimir,hr CRO,Mallorca,2.765,13,2,12,0
Esteban Burgos,ar ARG,Eibar,1.119,1,0,3,0
Burgui,es ESP,Alavés,22,0,0,0,0
Oliver Burke,sco SCO,Alavés,1.429,1,2,2,0
Sergio Busquets,es ESP,Barcelona,2.483,2,2,9,0
Unai Bustinza,es ESP,Leganés,2.684,0,1,8,0
Erick Cabaco,uy URU,Getafe,267,0,0,0,0
Erick Cabaco,uy URU,Levante,809,0,0,4,0
Ariday Cabrera,es ESP,Mallorca,37,0,0,0,0
Leandro Cabrera,uy URU,Espanyol,1.530,0,1,2,0
Leandro Cabrera,uy URU,Getafe,1.530,2,0,3,0
Fernando Calero,es ESP,Espanyol,1.043,0,0,4,1
Jonathan Calleri,ar ARG,Espanyol,1.811,1,3,6,1
Víctor Camarasa,es ESP,Alavés,1.293,0,1,1,0
Sergio Camello,es ESP,Atlético Madrid,25,0,0,0,0
José Campaña,es ESP,Levante,3.156,2,7,4,1
Xisco Campos,es ESP,Mallorca,473,0,1,2,0
Víctor Campuzano,es ESP,Espanyol,870,0,0,2,0
Sergio Canales,es ESP,Betis,3.163,6,6,5,0
Ander Capa,es ESP,Athletic Club,2.872,3,4,10,0
Marc Cardona,es ESP,Osasuna,705,1,2,1,0
Diego Carlos,br BRA,Sevilla,3.134,2,0,7,0
Yannick Carrasco,be BEL,Atlético Madrid,631,1,2,2,0
Daniel Carriço,pt POR,Sevilla,847,0,0,3,0
Guido Carrillo,ar ARG,Leganés,1.213,1,2,2,0
Dani Carvajal,es ESP,Real Madrid,2.738,1,5,11,0
William Carvalho,pt POR,Betis,892,0,0,6,1
Casemiro,br BRA,Real Madrid,3.088,4,3,12,0
Santi Cazorla,es ESP,Villarreal,2.450,11,9,3,0
Sofian Chakla,ma MAR,Villarreal,180,0,0,1,0
Charles,br BRA,Eibar,1.301,6,0,8,0
Pablo Chavarría,ar ARG,Mallorca,209,0,0,1,0
Pape Cheikh Diop,es ESP,Celta Vigo,599,0,1,5,1
Chema,es ESP,Getafe,309,0,0,4,0
Denis Cheryshev,ru RUS,Valencia,926,1,2,5,0
Samuel Chukwueze,ng NGA,Villarreal,2.020,3,2,2,0
Churripi,es ESP,Valladolid,244,0,0,0,0
Jasper Cillessen,nl NED,Valencia,2.096,0,1,1,0
Óscar Clemente,es ESP,Atlético Madrid,4,0,0,0,0
Carlos Clerc,es ESP,Levante,1.848,0,2,4,0
Coke,es ESP,Levante,989,1,0,3,0
Álex Collado,es ESP,Barcelona,6,0,0,0,0
Francis Coquelin,fr FRA,Valencia,1.905,0,0,8,1
Sébastien Corchia,fr FRA,Espanyol,269,0,0,1,0
Iñigo Córdoba,es ESP,Athletic Club,1.442,1,4,4,0
Ángel Correa,ar ARG,Atlético Madrid,2.061,5,6,5,0
Rober Correa,es ESP,Eibar,929,0,0,3,0
Thierry Correia,pt POR,Valencia,259,0,0,0,0
Antonio Cortés,es ESP,Granada,181,1,0,2,0
Diego Costa,es ESP,Atlético Madrid,1.350,5,4,5,0
Jaume Costa,es ESP,Valencia,1.389,0,1,2,1
David Costas,es ESP,Celta Vigo,338,0,0,1,0
Thibaut Courtois,be BEL,Real Madrid,3.060,0,0,1,0
Sebastián Cristóforo,uy URU,Eibar,877,0,0,1,0
Cucho,co COL,Mallorca,1.487,5,1,5,1
Marc Cucurella,es ESP,Getafe,3.237,1,5,9,0
Iván Cuéllar,es ESP,Leganés,2.429,0,0,4,1
Moanes Dabour,il ISR,Sevilla,26,0,0,0,0
Sergi Darder,es ESP,Espanyol,2.658,2,1,4,0
Ousmane Dembélé,fr FRA,Barcelona,357,1,0,1,1
Deyverson,br BRA,Getafe,204,0,1,2,0
Mouctar Diakhaby,fr FRA,Valencia,1.444,0,0,5,0
Brahim Díaz,es ESP,Real Madrid,65,0,0,1,0
Víctor Díaz,es ESP,Granada,2.884,1,5,4,0
Papakouli Diop,sn SEN,Eibar,2.253,1,0,7,0
Djené,tg TOG,Getafe,3.060,0,0,5,0
Naïs Djouahra,fr FRA,Real Sociedad,29,0,1,0,0
