Player,Nation,Squad,Min,Gls,Ast,CrdY,CrdR
Rubén Rochina,es ESP,Levante,1.875,5,3,5,0
Rodrigo,es ESP,Valencia,1.880,4,7,2,1
Kévin Rodrigues,pt POR,Real Sociedad,6,0,0,0,0
Kévin Rodrigues,pt POR,Leganés,1.931,1,2,6,1
Óscar Rodríguez Arnaiz,es ESP,Leganés,1.914,9,2,6,1
Ángel Rodríguez,es ESP,Getafe,1.407,10,3,6,0
Dani Rodríguez,es ESP,Mallorca,3.039,5,2,7,0
Guido Rodríguez,ar ARG,Betis,936,1,0,5,0
James Rodríguez,co COL,Real Madrid,419,1,1,1,0
Mario Rodriguez,es ESP,Granada,2,0,0,0,0
Rodrygo,br BRA,Real Madrid,1.019,2,0,0,0
Luka Romero,ar ARG,Mallorca,8,0,0,0,0
Facundo Roncaglia,ar ARG,Osasuna,1.277,1,0,4,2
Roberto Rosales,ve VEN,Leganés,1.871,0,1,7,0
Rubén,es ESP,Osasuna,1.583,0,0,0,0
Waldo Rubio,es ESP,Valladolid,878,0,2,6,0
Aitor Ruibal,es ESP,Leganés,1.220,0,0,4,0
Jorge Sáenz,es ESP,Celta Vigo,371,0,0,3,1
Borja Sainz,es ESP,Alavés,573,1,0,1,0
Yannis Salibur,fr FRA,Mallorca,82,0,0,0,0
Mohammed Salisu,gh GHA,Valladolid,2.725,1,1,4,0
Fede San Emeterio,es ESP,Valladolid,1.751,0,0,4,0
Mikel San José,es ESP,Athletic Club,359,0,0,3,0
Oihan Sancet,es ESP,Athletic Club,741,1,1,1,0
Germán Sánchez,es ESP,Granada,2.293,2,0,12,1
Javi Sánchez,es ESP,Valladolid,497,0,1,1,0
Manuel Sánchez,es ESP,Atlético Madrid,325,0,0,1,0
Víctor Sánchez,es ESP,Espanyol,1.688,0,1,11,1
Luca Sangalli,es ESP,Real Sociedad,372,0,1,0,0
Oier Sanjurjo,es ESP,Osasuna,2.320,2,1,15,1
Ivan aponji?,rs SRB,Atlético Madrid,6,0,0,0,0
Joan Sastre Vanrell,es ESP,Mallorca,1.360,0,2,4,0
Stefan Savi?,me MNE,Atlético Madrid,1.980,0,0,6,0
Aleksandar Sedlar,rs SRB,Mallorca,814,0,0,3,1
Nélson Semedo,pt POR,Barcelona,2.097,1,2,2,0
Josep Señé,es ESP,Mallorca,150,0,0,0,0
Salva Sevilla,es ESP,Mallorca,2.568,5,3,10,1
Sidnei,br BRA,Betis,1.175,1,0,1,0
Jonathan Silva,ar ARG,Leganés,2.785,1,2,13,1
Rui Silva,pt POR,Granada,3.150,0,0,3,0
Unai Simón,es ESP,Athletic Club,2.991,0,0,2,1
Dimitris Siovas,gr GRE,Leganés,1.918,0,0,7,0
Pione Sisto,dk DEN,Celta Vigo,891,2,0,2,0
Antonio Sivera,es ESP,Alavés,270,0,0,1,0
Fyodor Smolov,ru RUS,Celta Vigo,743,2,0,4,0
Rafa Soares,pt POR,Eibar,435,0,0,1,0
Rubén Sobrino,es ESP,Valencia,170,1,0,0,0
Roberto Soldado,es ESP,Granada,2.347,7,4,14,0
Carlos Soler,es ESP,Valencia,2.066,2,0,4,0
Kévin Soni,cm CMR,Espanyol,4,0,0,0,0
David Soria,es ESP,Getafe,3.420,0,0,2,0
Bruno Soriano,es ESP,Villarreal,263,0,0,1,0
Juan Soriano,es ESP,Leganés,990,0,0,2,0
Damián Suárez,uy URU,Getafe,2.592,1,4,15,0
Denis Suárez,es ESP,Celta Vigo,1.630,1,5,2,0
Luis Suárez,uy URU,Barcelona,1.998,16,8,4,0
Ki Sung-yueng,kr KOR,Mallorca,9,0,0,0,0
Suso,es ESP,Sevilla,785,1,1,0,0
Tachi,es ESP,Alavés,238,0,0,1,0
Rodrigo Tarín,es ESP,Leganés,951,0,0,1,0
Álvaro Tejero,es ESP,Eibar,1.447,0,0,4,0
Cristian Tello,es ESP,Betis,787,2,0,1,0
Marc-André ter Stegen,de GER,Barcelona,3.240,0,2,1,0
David Timor,es ESP,Getafe,943,3,0,4,0
Jean-Clair Todibo,fr FRA,Barcelona,77,0,0,0,0
Karl Toko Ekambi,cm CMR,Villarreal,993,6,2,0,0
Raúl de Tomás,es ESP,Espanyol,1.075,4,0,5,0
Toño,es ESP,Levante,1.589,0,2,2,0
Ferrán Torres,es ESP,Valencia,2.251,4,5,5,0
Óliver Torres,es ESP,Sevilla,1.596,3,3,5,0
Pau Torres,es ESP,Villarreal,2.971,2,1,6,0
Roberto Torres,es ESP,Osasuna,2.717,7,8,1,0
Aleksandar Trajkovski,mk MKD,Mallorca,330,0,0,0,0
Manu Trigueros,es ESP,Villarreal,1.547,2,4,6,0
Kieran Trippier,eng ENG,Atlético Madrid,1.979,0,4,2,0
Samuel Umtiti,fr FRA,Barcelona,949,0,0,6,0
Enes Ünal,tr TUR,Valladolid,2.344,6,2,4,0
Tomá Vaclík,cz CZE,Sevilla,2.925,0,0,0,0
Álvaro Vadillo,es ESP,Granada,1.218,3,1,0,0
Germán Valera,es ESP,Atlético Madrid,4,0,0,0,0
Martin Valjent,sk SVK,Mallorca,3.182,0,0,6,0
Jesús Vallejo,es ESP,Granada,629,0,0,1,0
Manu Vallejo,es ESP,Valencia,418,2,0,0,0
Federico Valverde,uy URU,Real Madrid,1.907,2,5,1,0
Raphaël Varane,fr FRA,Real Madrid,2.822,3,1,2,0
Matías Vargas,ar ARG,Espanyol,1.024,0,3,1,0
Franco Vázquez,ar ARG,Sevilla,1.098,3,0,5,0
Kevin Vázquez,es ESP,Celta Vigo,1.325,0,0,6,0
Lucas Vázquez,es ESP,Real Madrid,848,2,1,1,0
Koke Vegas,es ESP,Levante,180,0,0,0,0
Unai Vencedor Paris,es ESP,Athletic Club,73,0,0,1,0
Mikel Vesga,es ESP,Athletic Club,1.269,0,1,3,0
Rúben Vezo,pt POR,Levante,2.610,0,0,4,0
Fede Vico,es ESP,Granada,876,2,1,1,0
Aleix Vidal,es ESP,Alavés,2.165,2,4,6,0
Arturo Vidal,cl CHI,Barcelona,1.671,8,2,4,0
Nacho Vidal,es ESP,Osasuna,2.332,0,0,5,0
Dídac Vilà,es ESP,Espanyol,2.492,0,0,9,0
Toni Villa,es ESP,Valladolid,1.354,0,1,4,0
Asier Villalibre,es ESP,Athletic Club,531,3,0,0,0
Iván Villar,es ESP,Celta Vigo,280,0,0,0,0
Juan Villar,es ESP,Osasuna,240,1,0,1,0
Vitolo,es ESP,Atlético Madrid,1.227,3,2,3,0
ime Vrsaljko,hr CRO,Atlético Madrid,362,0,1,3,0
Nikola Vuk?evi?,me MNE,Levante,1.569,0,2,11,0
Moussa Wagué,sn SEN,Barcelona,90,0,0,0,0
Wakaso,gh GHA,Alavés,1.283,0,0,12,1
Daniel Wass,dk DEN,Valencia,2.733,1,6,7,0
Iñaki Williams,es ESP,Athletic Club,2.939,6,1,3,0
Yoel,es ESP,Eibar,270,0,0,1,0
Okay Yoku?lu,tr TUR,Celta Vigo,1.973,0,2,6,0
Joseba Zaldúa,es ESP,Real Sociedad,2.545,0,2,8,1
Andre-Frank Zambo Anguissa,cm CMR,Villarreal,2.583,2,0,6,0
Igor Zubeldia,es ESP,Real Sociedad,2.640,0,1,9,0
Martín Zubimendi,es ESP,Real Sociedad,594,0,0,3,0
David Zurutuza,es ESP,Real Sociedad,157,0,0,0,0
Martin Ødegaard,no NOR,Real Sociedad,2.527,4,6,3,0
